,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,spam
0,-1.3677483731031255,-0.5993422118662587,-0.07081980527963407,0.06772767308497285,-0.0403004574053787,-0.4355768154498183,0.14387345905598786,-0.5805569219953841,-0.09195548483607018,0.01852007442942923,1
1,-1.6132240739879784,-0.4654778634955386,0.5159573511090753,-0.16555577845243236,0.1767290358531466,-0.5802876632304211,0.7986770359430199,-1.0704758012684827,-0.1457154367703458,0.010262400184753469,1
2,-1.1246085563388528,-0.7319327412620504,-0.6520133400023819,0.298791258834945,-0.2552647533952015,-0.2922429991643408,-0.504699174108972,-0.09529998574288397,-0.03870709888406412,0.02669917075347363,1
3,-3.571622846921926,6.708846434399965,-1.6318869722003038,-0.5041459318350556,0.0200925133170691,0.6157083106638842,0.8238892814675359,-0.6698325090679257,7.997987883057468,0.27262566631380203,1
4,-2.716155147050031,-0.528685058209493,4.983743902665031,-1.9223750492184544,-2.946815832438863,1.479541050356293,0.08973837982635027,0.6592213550718637,0.24286511161693272,-0.023649796904549776,1
5,-1.4866799121426912,-0.5344857192811683,0.21347028954854766,-0.04529679257006158,0.06484906068203941,-0.505688373458326,0.4611219561050609,-0.8179197489736051,-0.1180018666131229,0.014519279632768849,1
6,-1.2449783339975926,-0.7165609773680646,-0.2257770926956791,0.130802903229218,-0.4588286369990467,-0.15824173690484156,-0.45974144769568065,-0.03823501098015192,-0.01741159640195331,0.022891243245906714,1
7,-2.2023387008401696,-0.5943017374923709,3.1642905639884042,-1.2052915623095974,-2.077872869475675,0.9075365679935044,-0.10217041708813321,0.4156309530128847,0.15196206586542327,-0.007395087313660066,1
8,-1.1246085563388528,-0.7319327412620504,-0.6520133400023819,0.298791258834945,-0.2552647533952015,-0.2922429991643408,-0.504699174108972,-0.09529998574288397,-0.03870709888406412,0.02669917075347363,1
9,-2.1943271759370298,-0.5953248453823847,3.135921297413867,-1.194110658593148,-2.0643241435862274,0.8986177640335288,-0.10516269597868483,0.41183284458981534,0.1505446880835684,-0.007141640753820798,1
